1300	2.76	0.044
1400	2.92	0.052
1500	3.06	0.052
1600	3.22	0.06
1700	3.42	0.06
1800	3.66	0.068
1900	3.88	0.076
2000	3.98	0.084
2100	4.02	0.096
2200	3.96	0.104
2300	3.8	0.112
2400	3.46	0.124
2500	3.18	0.128
2600	2.9	0.128
2700	2.62	0.128
2800	2.32	0.128
2900	2.08	0.128
3000	1.88	0.132
3100	1.72	0.128
3200	1.56	0.126

